,USAFID,WBAN,YR,M,D,HR,MIN,LAT,LONG,ELEV,WIND_DIR,WIND_SPD,TEMP,DEW_POINT,ATM_PRES
251,722247,54785,2013,1,10,20,53,40.624,-74.669,30,300,3.1,9.4,-4.4,1032.3
252,722247,54785,2013,1,10,21,53,40.624,-74.669,30,999,0.0,7.2,-4.4,1032.6
253,722247,54785,2013,1,10,22,53,40.624,-74.669,30,999,0.0,3.3,-4.4,1033.2
254,722247,54785,2013,1,10,23,53,40.624,-74.669,30,999,0.0,0.0,-4.4,1033.7
255,722247,54785,2013,1,11,0,53,40.624,-74.669,30,999,0.0,-0.6,-4.4,1033.2
256,722247,54785,2013,1,11,1,53,40.624,-74.669,30,999,0.0,-1.1,-4.4,1033.9
257,722247,54785,2013,1,11,2,53,40.624,-74.669,30,999,0.0,-0.6,-3.9,1033.5
258,722247,54785,2013,1,11,3,53,40.624,-74.669,30,999,0.0,-1.1,-3.3,1033.8
259,722247,54785,2013,1,11,4,53,40.624,-74.669,30,999,0.0,-1.1,-3.9,1033.9
260,722247,54785,2013,1,11,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
261,722247,54785,2013,1,11,5,53,40.624,-74.669,30,999,0.0,-1.1,-3.9,1033.4
262,722247,54785,2013,1,11,6,53,40.624,-74.669,30,999,0.0,-1.1,-3.3,1032.9
263,722247,54785,2013,1,11,7,53,40.624,-74.669,30,310,1.5,-1.7,-3.9,1032.3
264,722247,54785,2013,1,11,8,53,40.624,-74.669,30,999,0.0,-0.6,-3.3,1031.4
265,722247,54785,2013,1,11,9,53,40.624,-74.669,30,999,0.0,-0.6,-2.8,1031.0
266,722247,54785,2013,1,11,10,53,40.624,-74.669,30,999,0.0,0.0,-2.8,1031.4
267,722247,54785,2013,1,11,11,53,40.624,-74.669,30,999,0.0,-0.6,-2.8,1031.8
268,722247,54785,2013,1,11,12,53,40.624,-74.669,30,999,0.0,-0.6,-2.8,1031.5
